communityname,state,pct_urban,med_income,pct_pub_asst,med_fam_income,pct_poverty,pct_not_h_sgrad,pct_coll_grad,pct_unemploy,pct_all_divorc,pers_per_fam,pct_kids2par,pct_work_mom18,pct_kids_born_nevr_marr,pct_immig3,pct_vacant_boarded,own_hous_low_q,own_hous_qrange,rent_low_q,rent_qrange,med_rentpct_hous_inc,pers_emerg_shelt,pers_homeless,police_per_pop,racial_match,pop_density,pct_use_pub_trans,violent_per_pop,non_viol_per_pop
NewHaventown,CT,100,25811,14.61,31163,21.29,28.97,26.7,9.25,12.44,3.16,38.63,60.14,15.07,1.92,10.18,110400,78800,332,262,30,1344,16,326.08,74.62,6679.9,9.54,2127.02,10988.76
Westwegocity,LA,100,18095,11.22,20562,23.81,49.27,4.01,8.37,14.97,3.18,55.69,50.26,4.92,0.17,10.97,37400,27000,180,134,27.3,0,0,NA,NA,3399.4,1.19,809.39,6620.59
Doltonvillage,IL,100,36724,4.66,39916,4.93,21.38,12.55,6.76,11.36,3.23,67.79,75.79,3.18,0.24,2.33,54700,20200,384,130,24.1,0,0,NA,NA,5104.5,12.33,NA,6324.43
Munstertown,IN,100,48483,1.14,52340,1.27,12.33,33.16,2.81,5.14,3.12,89.64,66.81,0.31,0.27,0,81200,56800,403,116,23.4,0,0,NA,NA,2553.6,4.44,199.2,2992.91
Newberrytown,SC,0,19063,12.4,25025,25.22,39.06,14.77,9.13,10.44,3.14,47.91,76.76,10.7,0.1,3.73,32400,37300,118,140,25.9,0,0,NA,NA,1633.9,0,1527.29,5317.24
NorthTonawandacity,NY,100,29576,5.96,34987,6.07,20.21,15.16,5.64,8.45,3.11,79.54,74,1.7,0.13,5.46,53400,33300,257,142,24.6,0,0,NA,NA,3344,0.62,85.17,2570.42
Redlandscity,CA,100,37073,7.29,43200,8.98,15.38,31.26,4.78,12.03,3.19,72.29,64.88,2.24,1.8,1.16,107200,86200,434,206,26.9,92,26,NA,NA,2398.1,0.37,727.83,4976.1
Avondalecity,AZ,0,24292,16.57,26520,28.22,42.85,9.37,11.09,12.74,3.68,58.91,56.19,5.48,1.99,4.53,41900,69700,185,194,28.9,0,34,NA,NA,705.2,0.71,781.32,7265.84
Lafayettecity,CO,0,34182,3.85,36533,8.43,14.97,28.11,3.93,14.83,3.2,75.17,75.54,1.17,0.75,0.52,68000,26000,349,209,28.4,9,0,NA,NA,2035.3,2.24,367.13,3885.91
Oshkoshcity,WI,100,25168,6.39,31773,12.63,21.39,19.6,4.82,9.2,2.99,75.23,73.08,1.67,0.47,0.57,41600,29000,243,137,25.7,13,0,NA,NA,2959.7,1.89,155.25,5691.4
Tukwilacity,WA,100,30141,6.21,33460,9.33,15.18,19.28,4.77,19.11,2.84,62.08,68.84,2.95,1.54,0.3,73100,48800,374,138,22.9,2,1,NA,NA,1404.9,8.04,1634.34,24116.36
Dublincity,CA,100,53710,4.19,55924,4.23,14.13,24.07,3.52,13.69,3.2,80.04,72.22,6.51,0.66,0,207500,96700,702,229,26.5,0,0,NA,NA,2618.2,2.12,251.23,2561.76
Breacity,CA,100,51253,3.54,58187,3.55,12.59,30.99,3.31,10.85,3.15,79.27,69.6,1.23,1.84,3.3,205000,127600,602,268,26.8,5,0,NA,NA,3178,0.75,367.33,5934.68
NorthAugustacity,SC,100,32877,3.89,38190,9.28,18.08,25.47,3.62,12.39,2.99,69.84,70.59,5.59,0.21,2.61,50800,39400,245,143,21.4,0,0,NA,NA,904.5,0.16,560.56,4218.33
Tallahasseecity,FL,100,23453,4.59,34764,22.32,14.48,40.72,5.56,11.51,2.93,57.44,78.45,7.88,1.1,2.24,52100,46900,265,184,31.2,148,30,212.14,87.98,1903.4,2.82,1981.45,12349.83
Princetonborough,NJ,0,43092,2.6,60927,9.64,11.6,66.02,3.21,5.92,2.79,75.42,66.72,2.58,5.07,4.82,206700,232500,469,425,23.6,0,0,NA,NA,6306.9,5.17,83.89,5041.52
Menomoniecity,WI,0,21392,6.35,31331,28.82,19.79,30.23,7.56,5.29,2.99,75.76,71.28,2.52,1.04,0.46,40900,28500,227,154,32,6,0,NA,NA,1161.2,0.22,39.87,6199.75
Sturgiscity,MI,0,23642,7.37,30382,11.86,25.24,12.26,5.25,13.78,3.08,66.02,75.33,0.82,0.32,1.04,30400,26600,212,119,26.5,0,0,NA,NA,1925.9,0.09,NA,3673.66
Alpharettacity,GA,98.55,44335,1.94,49356,3.73,7.51,36.94,2.63,12.84,2.95,80.8,67.58,1.15,1.19,0.48,87600,81600,493,119,22.8,0,0,NA,NA,659.9,1.14,60.9,2243.88
Jeffersontownship,NJ,44.04,48889,2.86,52590,2.43,12.9,25.01,2.94,8.64,3.21,84.47,68.7,0.58,0.04,2.55,130100,64300,512,307,28,0,0,NA,NA,422.4,2.22,70.4,1348.5
StevensPointcity,WI,0,22194,7.35,30450,21.61,20.01,23.91,5.96,6.76,2.97,74.2,70.83,1.76,2.1,0.79,41100,24700,251,144,27.5,21,0,NA,NA,1660.1,0.56,242.54,6436.57
Woodlandcity,CA,0,31671,10.34,36935,9.59,23.84,17.03,7.85,13.1,3.2,68.95,74.67,2.55,1.41,1.94,101200,62900,350,164,26.1,57,5,NA,NA,4187.9,0.6,574.24,4296.38
NorthBrunswicktownship,NJ,100,49900,3.06,57156,2.67,16.13,32.71,3.08,8.91,3.04,79.76,74.43,2.71,2.3,1.11,142900,92200,558,249,24.9,8,0,NA,NA,2508.1,8.09,288.37,3647.57
Springfieldcity,OH,100,21407,14.47,26838,20.87,31.67,10.88,8.74,14.39,3.06,58.23,65.42,5,0.17,8.42,31300,27300,180,136,27.6,2,8,142.86,86.22,3485.1,1.06,1497.92,7742.79
Richfieldcity,MN,100,32405,4.4,39977,5.55,11.92,20.91,3.61,10.51,2.85,74.37,80.98,1.93,0.35,0.18,74600,20100,394,127,27,0,0,NA,NA,5009.5,6.04,NA,4805.2
